paperId,year,outDegree,inDegree
1001,2000,19,15
1002,2000,22,45
1021,2000,7,3
1024,2000,11,0
1030,2000,5,1
1032,2000,9,2
1033,2000,20,3
1035,2000,8,2
1037,2000,2,2
1046,2000,28,41
1048,2000,14,4
1050,2000,13,1
1054,2000,25,5
1059,2000,29,7
1066,2000,11,0
1076,2000,7,0
1084,2000,6,2
1086,2000,0,31
1087,2000,32,15
1088,2000,26,8
1092,2000,1,3
1095,2000,16,27
1096,2000,15,1
1103,2000,11,11
1104,2000,43,22
1105,2000,8,1
1108,2000,10,4
1113,2000,20,22
1119,2000,15,16
1122,2000,3,7
1134,2000,106,1
1145,2000,15,5
1147,2000,3,1
1150,2000,5,4
1151,2000,5,8
1152,2000,5,4
1159,2000,11,1
1161,2000,6,5
1162,2000,9,6
1178,2000,1,2
1189,2000,15,13
1191,2000,6,3
1193,2000,6,1
1195,2000,17,0
1196,2000,11,12
1200,2000,16,2
1204,2000,23,8
1211,2000,32,1
1216,2000,21,11
1218,2000,19,7
1221,2000,2,0
1224,2000,9,3
1226,2000,17,1
1229,2000,20,4
1234,2000,9,4
1236,2000,8,1
1243,2000,12,16
1244,2000,6,19
1249,2000,3,2
1251,2000,10,4
1257,2000,31,1
1259,2000,20,12
1260,2000,28,1
1266,2000,9,9
1268,2000,7,21
1272,2000,13,7
1273,2000,5,3
1274,2000,26,19
1275,2000,2,1
1286,2000,47,32
1287,2000,27,10
1290,2000,2,12
1292,2000,6,2
1295,2000,15,14
1297,2000,9,17
1298,2000,23,1
1299,2000,9,29
1301,2000,23,6
1302,2000,10,6
1303,2000,17,1
1304,2000,9,2
1307,2000,13,11
1308,2000,8,4
1312,2000,46,47
1318,2000,18,17
1325,2000,7,2
1327,2000,0,5
1334,2000,45,6
2001,2000,7,5
2003,2000,18,5
2007,2000,18,5
2014,2000,19,0
2023,2000,23,4
2032,2000,9,6
2033,2000,7,15
2034,2000,10,5
2035,2000,16,4
2036,2000,21,19
2041,2000,37,3
2050,2000,34,18
2054,2000,23,4
2061,2000,10,2
2065,2000,24,15
2071,2000,18,22
2072,2000,13,22
2075,2000,20,17
2078,2000,13,11
2081,2000,16,9
2089,2000,49,7
2091,2000,16,11
2094,2000,7,1
2095,2000,0,3
2101,2000,5,2
2110,2000,2,2
2113,2000,18,0
2114,2000,13,4
2120,2000,12,10
2123,2000,22,15
2126,2000,12,2
2127,2000,29,17
2133,2000,2,7
2138,2000,7,3
2141,2000,8,6
2144,2000,8,2
2157,2000,39,11
2163,2000,18,5
2167,2000,25,10
2180,2000,4,2
2182,2000,15,10
2189,2000,10,1
2190,2000,3,1
2191,2000,26,2
2195,2000,16,3
2204,2000,3,5
2209,2000,46,30
2213,2000,17,24
2215,2000,5,1
2234,2000,34,34
2235,2000,15,12
2237,2000,9,9
2239,2000,10,6
2240,2000,18,14
2245,2000,28,13
2250,2000,24,28
2252,2000,5,10
2258,2000,84,14
2259,2000,12,10
2262,2000,16,0
2263,2000,25,2
2264,2000,12,4
2268,2000,18,17
2272,2000,18,22
2273,2000,21,3
2277,2000,25,11
2280,2000,12,0
2285,2000,3,5
2301,2000,11,1
2305,2000,3,3
3006,2000,14,10
3007,2000,18,5
3015,2000,3,0
3017,2000,18,4
3019,2000,5,3
3020,2000,10,7
3029,2000,37,5
3032,2000,36,19
3033,2000,138,40
3058,2000,32,12
3070,2000,13,1
3073,2000,35,2
3075,2000,33,12
3076,2000,13,4
3084,2000,30,6
3088,2000,5,0
3096,2000,14,0
3098,2000,12,0
3102,2000,8,1
3104,2000,11,0
3107,2000,39,25
3108,2000,12,1
3109,2000,45,3
3111,2000,34,5
3114,2000,13,18
3116,2000,18,0
3118,2000,23,4
3122,2000,56,18
3129,2000,13,13
3130,2000,2,4
3131,2000,17,7
3132,2000,8,2
3133,2000,45,2
3136,2000,3,9
3137,2000,7,0
3142,2000,41,11
3151,2000,8,4
3154,2000,189,35
3165,2000,9,12
3167,2000,14,12
3174,2000,22,5
3176,2000,2,2
3177,2000,21,21
3178,2000,10,0
3180,2000,72,27
3183,2000,5,9
3185,2000,21,7
3186,2000,22,9
3190,2000,12,2
3199,2000,9,18
3200,2000,11,2
3201,2000,6,6
3203,2000,8,16
3209,2000,5,3
3218,2000,12,6
3221,2000,24,4
3225,2000,26,4
3233,2000,14,18
3234,2000,22,8
3238,2000,81,25
3244,2000,12,0
3245,2000,12,0
3253,2000,8,4
3254,2000,16,2
3258,2000,25,20
3260,2000,21,11
3261,2000,3,14
3266,2000,5,3
3275,2000,52,16
3290,2000,2,0
3304,2000,5,1
3310,2000,6,0
3314,2000,5,0
3316,2000,12,1
3318,2000,28,3
3323,2000,22,13
3327,2000,17,8
4001,2000,21,3
4004,2000,6,60
4014,2000,23,27
4018,2000,10,9
4021,2000,13,9
4023,2000,12,0
4026,2000,5,0
4042,2000,10,1
4043,2000,17,24
4044,2000,15,32
4057,2000,10,1
4065,2000,7,5
4067,2000,27,4
4074,2000,31,19
4090,2000,16,1
4094,2000,8,5
4095,2000,4,24
4101,2000,36,8
4106,2000,13,8
4108,2000,16,1
4110,2000,7,5
4111,2000,16,2
4115,2000,34,36
4119,2000,11,1
4133,2000,22,0
4136,2000,0,6
4139,2000,4,8
4141,2000,6,2
4152,2000,8,0
4159,2000,9,5
4173,2000,32,67
4177,2000,5,6
4183,2000,38,9
4186,2000,33,8
4189,2000,14,6
4190,2000,17,5
4192,2000,17,7
4196,2000,12,2
4198,2000,0,3
4200,2000,22,7
4201,2000,10,1
4206,2000,33,7
4207,2000,36,13
4210,2000,23,9
